date,num_distinct_users,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,18278,45519,16543,42644,106902,0.363430655330741,0.9368395615017905,2.3485138074210767,0.0788807108620567,0.254704258679669
2018-01-02,26703,61707,21142,76665,195160,0.34261915179801317,1.2424036170936847,3.1626881877258657,0.0789180496238113,0.249133492254886
2018-01-03,27837,60533,18884,63361,146267,0.3119620702757174,1.0467183189334743,2.4163183717972014,0.0943306042970616,0.252711740176136
2018-01-04,26593,57804,17753,46218,114683,0.307124074458515,0.7995640440107951,1.9839976472216456,0.0827212424840683,0.252048207789638
2018-01-05,24756,53742,17405,48615,110267,0.3238621562279037,0.9045997543820475,2.051784451639314,0.0770206134208493,0.237507657513067
2018-01-06,18768,41902,12419,49543,131227,0.2963820342704406,1.1823540642451433,3.131759820533626,0.0859751191630729,0.254634263645237
2018-01-07,20202,45267,14855,39062,110628,0.3281640046833234,0.8629244261824287,2.443899529458546,0.0818847524523045,0.25176238988424
2018-01-08,26374,59227,19660,57381,138369,0.3319432015803603,0.9688317828017627,2.336248670369933,0.0796475653496586,0.248753999640565
2018-01-09,27709,62622,22571,58446,139727,0.36043243588515217,0.933314170738718,2.2312765481779566,0.0761074140271109,0.250154122593971
2018-01-10,31777,69418,32927,76637,192124,0.4743294246449048,1.1039932006107926,2.7676395171281225,0.0581024255582688,0.246011258878627
2018-01-11,31839,67525,26654,63889,160048,0.394727878563495,0.9461532765642354,2.3702036282858203,0.0596978186448015,0.241286617973422
2018-01-12,26707,59127,36346,48886,130312,0.6147107074602127,0.8267965565646828,2.2039339049841864,0.0660357712427572,0.250972126594273
2018-01-13,20013,45274,24443,33407,81355,0.539890444846932,0.7378848787383487,1.7969474753721784,0.0823987800789087,0.258049631939588
2018-01-14,19986,45612,23089,42515,103489,0.5062045075857231,0.9321012014382181,2.268898535473121,0.0747563856157841,0.255041036889704
2018-01-15,25835,56982,25770,54740,128919,0.4522480783405286,0.9606542416903584,2.262451300410656,0.0745700814654477,0.249488080133592
2018-01-16,40975,84497,44957,122367,368913,0.5320543924636377,1.4481815922458785,4.365989325064795,0.0723653690746645,0.239150906085188
2018-01-17,46253,90884,42645,82653,238098,0.46922450596364595,0.9094340037850447,2.619801065093966,0.0686980794093413,0.228568983710812
2018-01-18,31089,66054,34059,74194,207739,0.5156235807066946,1.1232325067369122,3.144987434523269,0.0802214359393399,0.239931493324967
2018-01-19,26245,58595,29283,48578,135328,0.4997525386125096,0.8290468470005973,2.3095485962966125,0.0753275761313173,0.244310987549545
2018-01-20,20183,44796,28192,39762,104822,0.6293419055272792,0.8876238949906242,2.33998571301009,0.0830722352699779,0.246029624069801
2018-01-21,21739,48424,27574,57756,109968,0.5694283826201884,1.1927143565174294,2.27094002973732,0.0731979268793569,0.235342287847239
2018-01-22,26988,62111,29112,47921,128105,0.4687092463492779,0.7715380528408816,2.0625171064706733,0.0768254596984565,0.239196174833528
2018-01-23,29511,67155,47256,56728,149607,0.7036855036855036,0.8447323356414266,2.2277864641501006,0.0761240225284925,0.226130189478509
2018-01-24,27671,64787,36256,128793,457200,0.5596184419713831,1.987945112445398,7.056971305971877,0.0838697755606995,0.244223017949692
2018-01-25,28193,63285,36414,61680,163511,0.5753970135103105,0.974638539938374,2.583724421268863,0.0848173001405126,0.253607716000829
2018-01-26,25256,57022,30035,41789,113237,0.526726526603767,0.7328574935989618,1.9858475676054856,0.0814543356978897,0.25032628195541
2018-01-27,18523,44344,26818,34275,90782,0.6047717842323651,0.7729343315893921,2.0472217210896626,0.0898516145595069,0.248329895687817
2018-01-28,19220,46292,28068,31194,84701,0.6063250669662145,0.6738529335522336,1.8297113972176617,0.0869367191431162,0.251380371487847
2018-01-29,23121,55429,35335,35730,94331,0.6374821844160998,0.6446084179761497,1.7018347796279927,0.0787896822593671,0.245010553077555
2018-01-30,27122,63258,40833,53478,134896,0.6454993834771886,0.8453950488475765,2.1324733630528945,0.0631183821699518,0.2334828500941
2018-01-31,28788,63242,37454,47137,122565,0.5922330097087378,0.7453432845261061,1.9380316878024098,0.0689911561055916,0.229225038969784
2018-02-01,32433,71384,39562,76098,225497,0.5542138294295641,1.0660372072173037,3.158929171803205,0.0600301690954853,0.235586843720447
2018-02-02,33898,72835,42871,58914,162353,0.5886043797624768,0.8088693622571566,2.229051966774216,0.0534792498435135,0.243222894875163
2018-02-03,20013,47830,18856,45118,129488,0.39422956303575163,0.9432991846121681,2.707254860965921,0.071219604547268,0.26024834719837
2018-02-04,21265,50091,23354,55063,154440,0.4662314587450839,1.0992593479866644,3.083188596753908,0.0765357238765648,0.25479411350356
2018-02-05,38925,83163,49887,82820,256469,0.5998701345550305,0.9958755696643941,3.0839315561006697,0.0663890463362627,0.246988131705014
2018-02-06,35919,77661,39294,71044,184288,0.5059682466102677,0.9147963585325968,2.3729800028328247,0.0641827732596987,0.236278987941962
2018-02-07,26351,62396,42947,47417,117935,0.6882973267517148,0.7599365343932304,1.8901051349445477,0.0777768790613765,0.23281032522567
2018-02-08,24859,59208,40392,42847,110492,0.6822051074179165,0.7236690987704364,1.8661667342251047,0.0764312102634404,0.24352682485651
2018-02-09,22417,55403,47840,51780,145862,0.8634911466888074,0.9346064292547335,2.632745519195711,0.0759229890710872,0.232858660471368
2018-02-10,17232,44560,56896,30560,77515,1.2768402154398564,0.6858168761220825,1.739564631956912,0.0738942141509429,0.238538061835322
