high,timestamp,volume,low,close,open
15257.53,2018-01-01 16:00:00,16299.66930279,12910.58,14678.94,13394.2
15500.0,2018-01-02 16:00:00,12275.00119668,14546.28,15155.62,14670.96
15430.27,2018-01-03 16:00:00,15004.01859256,14192.37,15143.67,15155.62
17200.0,2018-01-04 16:00:00,16248.91467956,14810.0,16928.0,15143.67
17234.99,2018-01-05 16:00:00,9501.01675546,16220.0,17149.67,16927.99
17149.97,2018-01-06 16:00:00,8632.81384337,15707.16,16124.02,17142.43
16300.0,2018-01-07 16:00:00,16676.34994239,13900.0,14999.99,16173.98
15367.18,2018-01-08 16:00:00,13913.52469368,14123.97,14403.51,14999.99
14900.0,2018-01-09 16:00:00,18479.01253046,13412.0,14890.02,14403.51
14973.07,2018-01-10 16:00:00,19630.07517112,12800.0,13243.83,14899.99
14152.19,2018-01-11 16:00:00,13433.08481363,12807.27,13781.41,13249.99
14619.1,2018-01-12 16:00:00,7488.98701847,13789.42,14197.78,13829.28
14365.81,2018-01-13 16:00:00,7588.63558972,13072.22,13647.99,14197.78
14394.36,2018-01-14 16:00:00,9444.63530824,13429.25,13607.04,13647.99
13607.04,2018-01-15 16:00:00,38789.88308789,10162.0,11386.34,13581.66
11794.07,2018-01-16 16:00:00,41356.1897379,9222.0,11191.35,11393.97
12146.0,2018-01-17 16:00:00,22195.26202056,10693.0,11247.57,11199.0
12050.39,2018-01-18 16:00:00,13203.25567513,11025.18,11552.0,11290.9
13052.12,2018-01-19 16:00:00,10324.05733414,11515.94,12775.99,11560.82
12791.88,2018-01-20 16:00:00,11596.44128787,11100.0,11558.87,12782.99
11910.78,2018-01-21 16:00:00,17067.72925582,10028.41,10808.99,11558.87
11409.87,2018-01-22 16:00:00,17250.17614645,9927.54,10851.82,10810.0
11500.0,2018-01-23 16:00:00,11646.79059794,10488.13,11400.96,10848.99
11741.82,2018-01-24 16:00:00,10212.92183381,10868.57,11155.54,11400.98
11635.0,2018-01-25 16:00:00,15074.66641243,10263.32,11092.95,11140.01
11630.47,2018-01-26 16:00:00,10309.80746248,10815.84,11446.54,11093.74
11989.15,2018-01-27 16:00:00,9956.09249576,11360.52,11685.58,11446.54
11820.01,2018-01-28 16:00:00,9996.35689848,10991.0,11162.62,11685.58
11222.36,2018-01-29 16:00:00,21082.19252764,9731.2,9971.0,11162.62
10324.0,2018-01-30 16:00:00,12743.50947059,9514.96,10149.0,9971.0
10187.56,2018-01-31 16:00:00,26356.58883931,8455.0,8998.99,10148.99
9096.79,2018-02-01 16:00:00,44406.01982931,7625.25,8838.83,9010.87
9491.2,2018-02-02 16:00:00,16208.37411342,8170.71,9225.86,8838.29
9350.09,2018-02-03 16:00:00,19110.67246079,7825.0,8191.0,9225.31
8335.56,2018-02-04 16:00:00,46544.42880431,6600.0,6874.27,8190.78
8150.0,2018-02-05 16:00:00,70961.36965826,5920.72,7737.37,6878.65
8649.0,2018-02-06 16:00:00,32640.89253754,7213.8,7588.01,7737.26
8644.36,2018-02-07 16:00:00,22746.39118112,7565.5,8259.76,7588.01
8779.62,2018-02-08 16:00:00,18418.11709042,7753.32,8693.98,8259.42
9090.8,2018-02-09 16:00:00,14670.55870203,8170.86,8560.0,8693.98
8560.0,2018-02-10 16:00:00,12711.7858457,7820.0,8067.0,8560.0
8995.0,2018-02-11 16:00:00,15071.04029684,8067.0,8899.0,8077.25
8951.89,2018-02-12 16:00:00,11374.52415254,8360.13,8522.99,8891.2
9515.0,2018-02-13 16:00:00,17468.73886593,8504.57,9490.98,8504.57
10234.0,2018-02-14 16:00:00,21036.3373175,9350.0,10018.0,9490.98
10300.0,2018-02-15 16:00:00,11857.64277513,9707.51,10196.0,10011.3
11135.83,2018-02-16 16:00:00,14511.16913676,10053.5,11101.0,10203.14
11300.0,2018-02-17 16:00:00,17623.07943135,10153.15,10421.06,11101.0
11262.48,2018-02-18 16:00:00,11698.25622611,10307.51,11173.0,10433.68
11780.0,2018-02-19 16:00:00,15880.9090398,11080.37,11233.41,11159.12
11275.74,2018-02-20 16:00:00,19959.67715652,10256.0,10449.4,11233.42
10935.0,2018-02-21 16:00:00,20204.69095384,9731.2,9843.34,10446.79
10405.3,2018-02-22 16:00:00,16044.03930333,9600.0,10166.1,9843.33
10540.63,2018-02-23 16:00:00,13972.71472351,9373.48,9689.99,10135.2
9883.41,2018-02-24 16:00:00,11037.17695269,9260.0,9590.04,9688.26
10461.97,2018-02-25 16:00:00,16156.80505618,9376.34,10324.7,9595.99
10850.0,2018-02-26 16:00:00,10408.47993775,10150.0,10566.3,10329.99
11064.75,2018-02-27 16:00:00,10490.74905816,10255.07,10314.9,10572.49
11090.0,2018-02-28 16:00:00,9481.66514611,10223.41,10903.13,10314.99
11175.0,2018-03-01 16:00:00,8329.09790086,10774.01,11029.99,10917.37
11503.24,2018-03-02 16:00:00,7786.26753951,11022.85,11445.0,11032.81
11511.0,2018-03-03 16:00:00,6831.63070279,11054.91,11463.27,11445.0
11688.0,2018-03-04 16:00:00,9933.67623336,11383.66,11419.24,11479.68
11420.01,2018-03-05 16:00:00,14734.41949313,10560.19,10723.76,11417.39
10911.78,2018-03-06 16:00:00,26116.51184803,9450.0,9913.03,10723.01
10150.0,2018-03-07 16:00:00,22522.42746991,9078.95,9285.32,9904.52
9420.39,2018-03-08 16:00:00,29014.16684454,8366.0,9230.0,9293.06
9514.96,2018-03-09 16:00:00,12886.58857926,8697.0,8791.47,9228.83
9768.37,2018-03-10 16:00:00,16407.54237557,8450.0,9535.04,8795.04
