"filename","sheetname","clusters","max_refs","avg_refs","min_refs","formulas","ratio"
"benjamin_rogers_000_1_1.pst.114.xls","Caledonia",16,42,4.2827868852459016,0,488,30.5000000000000000
"benjamin_rogers_000_1_1.pst.114.xls","Draw Summary",4,5,2.8414634146341463,0,164,41.0000000000000000
"benjamin_rogers_000_1_1.pst.114.xls","New Albany",15,43,4.2283464566929134,0,508,33.8666666666666667
"benjamin_rogers_000_1_1.pst.116.xls","144A DEBT",18,71,7.7557603686635945,1,868,48.2222222222222222
"benjamin_rogers_000_1_1.pst.116.xls","144A Draw",8,22,3.6518987341772152,1,948,118.5000000000000000
"benjamin_rogers_000_1_1.pst.116.xls","144A FCF",7,71,3.5106382978723404,0,188,26.8571428571428571
"benjamin_rogers_000_1_1.pst.116.xls","144A IDC",23,52,4.0586166471277843,1,3412,148.3478260869565217
"benjamin_rogers_000_1_1.pst.116.xls","ASSUM 1",18,18,1.6701030927835052,0,194,10.7777777777777778
"benjamin_rogers_000_1_1.pst.116.xls","ASSUM 2",10,20,6.4571428571428571,0,280,28.0000000000000000
"benjamin_rogers_000_1_1.pst.116.xls","BKDEPR 144A",10,49,18.5731922398589065,1,2268,226.8000000000000000
"benjamin_rogers_000_1_1.pst.116.xls","Co IS",6,3,1.5020920502092050,0,956,159.3333333333333333
"benjamin_rogers_000_1_1.pst.116.xls","Collateral Value",7,25,3.2843601895734597,0,422,60.2857142857142857
"benjamin_rogers_000_1_1.pst.116.xls","CSHFLO",16,121,2.2310077519379845,1,1290,80.6250000000000000
"benjamin_rogers_000_1_1.pst.116.xls","CSHFLO-ENA",15,121,2.1960486322188450,1,1316,87.7333333333333333
"benjamin_rogers_000_1_1.pst.116.xls","ENA Debt",18,214,19.2063492063492063,1,1008,56.0000000000000000
"benjamin_rogers_000_1_1.pst.116.xls","ENA IDC",24,2777,37.7398137369033760,1,3436,143.1666666666666667
"benjamin_rogers_000_1_1.pst.116.xls","ENE FCF",7,71,3.5106382978723404,0,188,26.8571428571428571
"benjamin_rogers_000_1_1.pst.116.xls","FUEL",9,12,2.1256117455138662,1,2452,272.4444444444444444
"benjamin_rogers_000_1_1.pst.116.xls","IS-ENA",6,3,1.4979253112033195,0,964,160.6666666666666667
"benjamin_rogers_000_1_1.pst.116.xls","OandM",16,20,3.7270615563298490,0,1722,107.6250000000000000
"benjamin_rogers_000_1_1.pst.116.xls","Spot",7,12,2.1846689895470383,1,1722,246.0000000000000000
"benjamin_rogers_000_1_1.pst.116.xls","Stratus Report",6,12,2.9168804515135967,1,3898,649.6666666666666667
"benjamin_rogers_000_1_1.pst.116.xls","Tariff",15,40,2.7392241379310345,1,928,61.8666666666666667
